,gA,gB,gC,gC1,gC2,gD,gD1,gD2,gE,gE1,gE2,gF,gF1,gF2,groups
24,0.7376180977254867,0.5067541269668752,0.769873168964009,0.0157412423429831,0.015981487031760975,0.7811780667273129,0.028235109290869417,0.021974560573708966,0.5248761749349632,0.01713269523312089,0.015572941817803762,0.532163464332873,0.01651677160866897,0.020865393087306856,8.0
25,0.7369452438338661,0.49276445479642034,0.8006086729494848,0.017066738817419397,0.01815359569277446,0.8088417569468844,0.02888902608215154,0.02178729159543765,0.531585433974788,0.017377522688298265,0.015359946479243774,0.5519262218518102,0.017613906876726006,0.0209785858150686,8.0
26,0.7457894002970359,0.47658265961843954,0.8051094302511597,0.018208024073854686,0.020649213403202492,0.8261376749818797,0.040965690622672114,0.03148693265647335,0.5421806655651207,0.024290107528766373,0.023386109072182623,0.5495481568557361,0.026404279043540164,0.02114916373321101,8.0
27,0.7458043448862844,0.4575925272047007,0.8193365117687622,0.018156577250185473,0.01975460618882258,0.8490507710983058,0.04095614209974787,0.03145989577161131,0.5419657057817535,0.0250928832412192,0.024275894048310452,0.5526246615024103,0.027176276754221268,0.020844556812407627,8.0
28,0.7539937862648732,0.45533688465155997,0.828380983676031,0.018003677060974634,0.020445743592421062,0.8481933815728206,0.039924271074487254,0.031363534825384745,0.5359260553566264,0.025233397483063063,0.024734450152765933,0.547541236899282,0.02705187501249966,0.020846118517578713,8.0
29,0.7554603961767599,0.44822648898787065,0.8271303403276312,0.01800197899974412,0.020865126025570044,0.8447285720203404,0.04049301031354124,0.03135984701483971,0.5140990931670315,0.02567023375044364,0.024717826241224795,0.5368629629590539,0.027617391014022913,0.02043165473412657,8.0
30,0.7361347713550669,0.4437128285068552,0.823447701035088,0.018238849012230083,0.020911992859247653,0.8476110323589802,0.040217631793349785,0.03140775855486896,0.5248779028274305,0.025675388966128455,0.0246701158676867,0.5511724859342644,0.0274386084026032,0.02075697835497399,8.0
31,0.7290069199931165,0.4274173079595267,0.8272646238686463,0.01783581755346895,0.020902959797328445,0.8452621465865181,0.04006579587569174,0.031206311141194303,0.5174598454267144,0.025202793864694876,0.024452591383770917,0.5443580537492616,0.027410196999236653,0.020417544687181557,8.0
32,0.7300673906761199,0.4167596246294539,0.8059084501570095,0.018751545373887405,0.02124280661591559,0.8455582340542976,0.03966771879552239,0.03209227566610966,0.49643035796785595,0.02519638990012392,0.024020737118000155,0.5218621026898567,0.027217979079780266,0.020006385493981663,8.0
33,0.7279126495765156,0.4075785589605474,0.8096331076345109,0.018751288291634707,0.02152643212911708,0.8483779709295206,0.03962551499528308,0.03188455529147755,0.4879876791200606,0.02520888916709365,0.024378141026831116,0.5153817256336837,0.02765816077289543,0.019368472584674563,8.0
34,0.7292245495010959,0.4134488782205816,0.8196631792384003,0.01873738770785693,0.022186454614023337,0.8560114770625671,0.039569709939316626,0.032631735667164596,0.4986134813035672,0.024718955465901783,0.023923979182771015,0.5290643985721932,0.02735494573642266,0.01947210942863518,8.0
35,0.7313927349808057,0.39345763624309826,0.8364182439919446,0.018731519507546413,0.022264314941636432,0.8658757234269117,0.039739271934032365,0.03321149553770768,0.496286155623703,0.024644325633706797,0.02383673962408086,0.5240853333184179,0.028857620743127917,0.01931730886750573,8.0
36,0.7276679798506742,0.40146165258506683,0.8433565251333013,0.018622215209305994,0.022899093973508727,0.8738072412642433,0.03897864027582672,0.03296386146126571,0.5123824417047811,0.025211680191838344,0.024067299437628965,0.5371127326117721,0.028355244083567172,0.0173520069918225,8.0
37,0.7398158934432386,0.40431332592558666,0.8630478923375609,0.019145014036063755,0.02284271995559008,0.8981616603776942,0.03818240906676757,0.034598699516697945,0.5121550747836539,0.025026421058286875,0.024347492012218988,0.5482565909095759,0.028402502518154408,0.01688948464878353,8.0
38,0.7413156113145951,0.39287738087601,0.86506182734557,0.01918123502894984,0.02288383939538986,0.9062161900173672,0.03804600946461467,0.03430916421608863,0.49275274617130393,0.02576917952240307,0.024135372357399917,0.5363359233257878,0.02795652287173993,0.01707493173089291,8.0
39,0.7384773931148918,0.39707767669948324,0.8756284697996128,0.019687206355283184,0.022557832587282098,0.9055631348447403,0.03717199710890115,0.03242918530310944,0.5031546080452216,0.0257663420497909,0.02441992835666768,0.5452386927509161,0.027975953493696998,0.014547919150556858,8.0
40,0.7302299551311642,0.4023768252005107,0.859695396171337,0.019690972577181477,0.022286196918901692,0.8957437397416758,0.037474027097287144,0.03237986482341885,0.4953644454968798,0.026927259410207065,0.02516056705823874,0.5281925495995631,0.02898010050272304,0.01475468296723515,8.0
41,0.7359094280811403,0.37958902859769844,0.8700218514577344,0.02557947328148074,0.030142319739879745,0.9043333043623791,0.03884618305722373,0.03242515688258671,0.4884148542279917,0.02696505673301898,0.026073015432975754,0.519109232319055,0.029290089325180547,0.014986952415271579,8.0
42,0.7515112017897853,0.3690758770108368,0.8813128804169617,0.025386583776327232,0.0299705803300786,0.9176664011434945,0.03997328065402663,0.032207059634565584,0.48925198805094233,0.026256940642298554,0.025753654666618143,0.5146999282265452,0.029160044388656745,0.014890439998757825,8.0
